Job_Category,Job_Count,Avg_Salary,Median_Salary,Salary_Std
Senior Data Scientist,1690,154206.29299648668,155500.0,50927.73825651832
Senior Data Engineer,1591,145840.61162397862,147500.0,37415.12039209918
Data Scientist,5922,135988.8371709832,127500.0,52227.83219564937
Data Engineer,4500,130125.60425,125000.0,42525.92967366496
Machine Learning Engineer,576,126774.31597222222,106415.0,53914.99334207172
Senior Data Analyst,1131,113911.36366462201,111175.0,34060.06509582117
Software Engineer,467,113393.76005420236,99150.0,51624.38518130871
Cloud Engineer,65,111268.45384615385,90000.0,50514.35107964702
Data Analyst,5450,93842.61279171445,90000.0,34103.19719251739
Business Analyst,610,91082.6128329918,85000.0,32036.098388361912
